ATT,SN,PBC,INT,BEH,clt1,clt2,clt3,clt4,clt5,clt6,clt7,Attribute
0.026252834700012606,0.36100663177246695,0.2279333099884906,0.3173335215902222,0.8379446640316202,4,3,3,5,6,5,5,27.664497266348494
-0.07630990846337848,0.3637366631711041,0.2655625025084931,0.36441979709967587,-0.1620553359683794,5,5,5,5,1,5,5,27.664497266348494
1.3791508054366073,0.46218195694142494,0.7990762971501377,0.9517839559688266,-0.1620553359683794,5,5,5,2,6,5,6,27.664497266348494
-0.8741810908495693,-1.1246661879402846,-0.8047352494043749,-0.9806642788966808,-0.1620553359683794,3,3,2,2,5,4,3,27.664497266348494
1.676108061108227,2.1387581947675383,1.8614505210347465,2.1399226482390175,-0.1620553359683794,4,7,7,7,1,6,6,27.664497266348494
-0.5970067529938117,0.577317704278391,-0.2059297609016788,0.02812811218996636,0.8379446640316202,5,5,2,6,3,6,5,27.664497266348494
-0.8855916011565732,-0.281360436067537,-0.09519905245322446,0.5289910909178328,0.8379446640316202,7,6,2,2,5,7,6,27.664497266348494
-0.23240264346941863,0.591030565449091,-0.7187130034945515,-0.7509376064972622,-0.1620553359683794,1,1,1,5,1,7,7,27.664497266348494
-0.0031524038917298824,-0.24282138207427284,0.09137922775266771,0.31568055201106837,0.8379446640316202,5,3,2,2,2,5,2,27.664497266348494
-0.38427904045643135,0.21063961874966264,-0.14687570340120581,-0.09602745065525387,-0.1620553359683794,5,5,3,2,2,4,5,27.664497266348494
-0.9525188932491813,-0.523774102627113,-0.5323815067546338,-0.5233316284699963,-0.1620553359683794,4,4,4,4,4,4,4,27.664497266348494
-0.20511330870112054,-0.9988187935440793,0.23526086449690187,0.7048747632224952,0.8379446640316202,5,4,3,2,3,4,5,27.664497266348494
-0.9525188932491813,-0.523774102627113,-0.5323815067546338,-0.5233316284699963,-0.1620553359683794,3,3,5,5,5,5,5,27.664497266348494
0.26881431900846486,0.8470873094506812,0.5611639834776039,0.6558011243728048,0.8379446640316202,6,4,3,5,5,5,5,27.664497266348494
1.3605512008346725,1.547274167251766,1.5352606702172773,1.6325430029015022,-0.1620553359683794,7,4,7,7,5,7,7,27.664497266348494
0.3980305284838428,-0.2845019834454252,-0.169008263032012,-0.09703318726192034,-0.1620553359683794,2,2,4,5,2,7,5,27.664497266348494
-0.5532989955383321,-0.5557018859037943,-0.6224461490693285,-0.6019759301607865,-0.1620553359683794,4,1,1,1,1,4,5,27.664497266348494
