Attribute_Level,Part_Worth
Discount Type_2,0.48535253307445086
Discount Type_3,0.5473218013430966
Discount Type_4,0.8585590689198128
Discount Type_5,1.1323330273792869
Discount Type_6,1.433856259007578
Discount Type_7,1.7073464855410712
Minimum Spend_2,0.2559294951450058
Minimum Spend_3,0.5789684208230768
Minimum Spend_4,0.8177217091316893
Minimum Spend_5,1.0207794767349208
Minimum Spend_6,1.2258017477388852
Minimum Spend_7,1.5115047001058883
Expiry_2,0.1731684537437176
Expiry_3,0.4936577344174092
Expiry_4,0.6835132792517183
Expiry_5,0.9634781544020844
Expiry_6,1.0797178464277657
Expiry_7,1.3530912590382758
Redemption_2,0.232258676980383
Redemption_3,0.4998946624909489
Redemption_4,0.578348664672869
Redemption_5,0.7815090966309297
Redemption_6,1.019529182237803
Redemption_7,1.1133462260146512
